"pmid","author","last_author","doi","publication_date"
"18216098","Matthijnssens J","Van Ranst M","10.1128/JVI.02257-07","2008/04/16 09:00"
"10463688","Fulhorst CF","Tesh RB","10.4269/ajtmh.1999.61.325","1999/08/27 00:01"
"21179440","Sulbarán MZ","Pujol FH","10.1371/journal.pone.0014315","2010/11/19 00:00"
"25908124","Yu GY","Palacios GF","10.1128/genomeA.00243-15","2015/04/25 06:00"
"22172205","Milazzo ML","Fulhorst CF","10.3201/eid1712.110393","2011/12/17 06:00"
"20055578","Milazzo ML","Fulhorst CF","10.1089/vbz.2009.0118","2010/01/09 06:00"
"23110744","Huhtamo E","Uzcátegui NY","10.1017/S0950268812002324","2012/11/01 06:00"
"21087501","Ramírez A","Liprandi F","10.1186/1743-422X-7-329","2010/11/18 00:00"
"22995142","Jaspe RC","Pujol FH","10.1186/1743-422X-9-214","2012/09/18 00:00"
"21915873","González GG","Ludert JE","10.1002/jmv.22185","2011/09/15 06:00"
"24895404","Jaspe RC","Pujol FH","10.1099/jmm.0.067496-0","2014/06/05 06:00"
"28320411","Vizzi E","Liprandi F","10.1186/s12985-017-0721-9","2017/03/01 00:00"
"22197765","Rodriguez-Roche R","Guzman MG","10.1016/j.meegid.2011.12.005","2011/12/08 00:00"
"22984519","Comach G","Halsey ES","10.1371/journal.pone.0044511","2012/08/03 00:00"
"20418428","Alcalá A","Liprandi F","10.1128/AEM.00501-10","2010/04/27 06:00"
"22238433","Perozo F","Afonso CL","10.1128/JCM.06506-11","2012/01/13 06:00"
"22585718","García CG","Guzmán MG","10.1002/jmv.23277","2012/05/16 06:00"
"29799873","Blanco RY","Pujol FH","10.1371/journal.pone.0197662","2018/05/07 00:00"
"31865350","Loureiro CL","Pujol FH","10.1159/000505065","2019/11/24 00:00"
"29718127","Blohm GM","Paniz-Mondolfi AE","10.1093/cid/ciy224","2018/03/16 00:00"
"28450510","Blohm GM","Paniz-Mondolfi AE","10.1128/genomeA.00231-17","2017/04/30 06:00"
"15084402","Cajimat MN","Fulhorst CF","10.1016/j.virusres.2004.01.032","2004/01/28 00:00"
"12867638","Norder H","Magnius LO","10.1099/vir.0.19034-0","2003/08/28 05:00"
"19028907","Rodríguez-Díaz J","Betancourt WQ","10.1128/AEM.02045-08","2009/01/30 09:00"
"16701967","Martínez MA","Ludert JE","10.1016/j.vetmic.2006.03.016","2006/03/20 00:00"
"16485478","Navarro JC","Weaver SC","10.3201/eid1112.050533","2006/03/17 09:00"
"10612673","Weaver SC","Tesh RB","10.1006/viro.1999.0067","1999/12/29 00:01"
"15246651","Fulhorst CF","Duno GM","10.1016/j.virusres.2004.03.009","2004/03/15 00:00"
"10752559","Ciarlet M","Estes MK","10.1007/s007050050029","2001/02/07 11:01"
"11714970","Uzcategui NY","Gould EA","10.1099/0022-1317-82-12-2945","2002/01/10 10:01"
"20872708","Sulbaran Y","Pujol FH","10.1002/jmv.21856","2010/09/28 06:00"
"20097824","Betancourt WQ","Pujol FH","10.1128/AEM.02752-09","2010/01/26 06:00"
